"Name";"Total Passengers 2017"
"Aéroport Charles de Gaulle 1";4776964
"Aéroport Charles de Gaulle 2 TGV";7706482
"Aéroport Charles de Gaulle 2 TGV";3550395
"Abancourt";39852
"Abbaretz";35637
"Abbeville";734566
"Ébersviller";5546
"Ablon";1393215
"Achères Grand Cormier";221402
"Achères Ville";3142826
"Acheux - Franleu";104
"Achiet";96447
"Échirolles";428479
"Écommoy";112601
"Écouché";641
"Écouen - Ézanville";1922936
"Écouflant";209
"Écully la Demi-Lune";208973
"Agay";16892
"Agde";696289
"Agen";1113431
"Égletons";31970
"Égly";497006
"Agonac";1581
"Aguilcourt - Variscourt";7364
"Éguzon";6297
"Aigrefeuille Le Thou";14513
"Aiguebelette-le-Lac";3116
"Aiguebelle";77758
"Aigueperse";77216
"Aigues-Mortes";4821
"Aiguillon";96906
"Aillevillers";5593
"Ailly-sur-Noye";109751
"Ailly-sur-Somme";130656
"Aimargues";229
"Aime - La Plagne";104029
"Aiserey";25374
"Aix-en-Provence";2619162
"Aix-en-Provence TGV";3621983
"Aix-les-Bains le Revard";1305573
"Aixe-sur-Vienne";8523
"Alaï";35720
"Alès";458167
"Albens";99802
"Albert";471365
"Albertville";329431
"Albi";431441
"Albi Madeleine";55006
"Albias";11579
"Albigny - Neuville";245384
"Alençon";407641
"Alet-les-Bains";102
"Allée de la Tour Rendez-Vous";626401
"Allassac";16670
"Allenc";131
"Alleyras";805
"Alouette France";206966
"Éloyes";25105
"Altkirch";310519
"Amagne - Lucquy";47917
"Ambérieu-en-Bugey";1213910
"Ambazac";30588
"Amboise";559850
"Ambronay - Priay";6623
"Émerainville - Pontault-Combault";4757465
"Amiens";5323930
"Amifontaine";15485
"Amilly Ouerray";23907
"Amplepuis";317803
"Ancenis";962078
"Anché - Voulon";9726
"Anchamps";6235
"Ancy-sur-Moselle";49942
"Andelot";3009
"Andrésy";627048
"Andrézieux";22999
"Angers Maître École";12707
"Angers Saint-Laud";5392168
"Angerville";214545
"Angoulême";1598700
"Angoulins sur Mer";16213
"Anizy - Pinon";83867
"Annappes";809
"Annecy";2345527
"Annemasse";775895
"Anor";20942
"Anse";397238
"Anstaing";0
"Anthéor Cap Roux";3735
"Antibes";3242226
"Anvin";12145
"Anzeling";744
"Apach";1105
"Épône - Mézières";1226027
"Épanvilliers";590
"Épernay";759696
"Épernon";1456200
"Épierre - Saint-Léger";32609
"Épinal";1092358
"Épinay-sur-Orge";2721685
"Épinay-sur-Seine";2225313
"Épinay-sur-Seine";1814400
"Épinay-Villetaneuse";1927800
"Épinay-Villetaneuse";9559672
"Épluches";72511
"Épouville";1808
"Appilly";6955
"Éragny - Neuville";703913
"Arbanats";40409
"Arbois";50124
"Arc-et-Senans";49748
"Arcachon";910159
"Arches";53799
"Arcy-sur-Cure";2408
"Arenc Euroméditerranée";19774
"Arengosse";5917
"Argelès-sur-Mer";126169
"Argentan";275655
"Argenteuil";14175228
"Argentière";13124
"Argenton-sur-Creuse";134010
"Arles";918491
"Arleux";45710
"Armentières";826389
"Arnage";17688
"Arnèke";126366
"Arpajon";1641882
"Arras";4242314
"Arrou";7322
"Ars-sur-Moselle";113392
"Artenay";62849
"Artix";40926
"Arvant";37662
"Ascq";17564
"Asnières-sur-Seine";13622521
"Aspres-sur-Buëch";25904
"Assat";168
"Assier";9894
"Étain";71920
"Étainhus - Saint-Romain";53958
